NTA,Ntaname,Adj Weighted Score,ACS 2021 unemployment rate,Food Insecure Perc,Food insecure percentage rank along Adj Weighted Score,SNAP Perc,SNAP Perc Rank along Adj Weighted Score,Supply gap above City average (pounds),Supply gap above city average Rank along Adj Weighted Score,Unemployment percent rank along Adj Weighted Score,Vulnerable Pop Perc,Vulnerable pop perc rank along Adj Weighted Score,Weighted Score Rank along Adj Weighted Score
BK0101,Greenpoint,5.723501066,7.44%,10.66%,123,37.62%,24,"497,638",40,85,35.26%,192,68
BK0102,Williamsburg,6.316001153,6.04%,11.53%,110,18.21%,99,"695,765",23,129,38.47%,185,31
BK0103,South Williamsburg,7.378802314,7.56%,23.14%,12,12.91%,139,"1,361,904",3,81,62.10%,19,6
BK0104,East Williamsburg,7.158001819,7.01%,18.19%,43,39.06%,19,"1,016,883",7,101,38.43%,186,9
BK0201,Brooklyn Heights,4.819500759,4.79%,7.59%,176,8.64%,165,"122,721",107,174,38.89%,183,150
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,4.48400127,6.57%,12.70%,97,13.20%,135,"-349,712",150,113,41.21%,170,168
BK0203,Fort Greene,4.6753016,8.82%,16.00%,64,10.72%,156,"-536,856",159,51,39.55%,181,161
BK0204,Clinton Hill,3.983001177,7.23%,11.77%,108,12.43%,141,"-963,289",176,89,33.91%,194,179
BK0301,Bedford-Stuyvesant (West),6.115801634,7.18%,16.34%,60,23.83%,64,"77,496",114,90,40.52%,174,42
BK0302,Bedford-Stuyvesant (East),3.658701652,8.25%,16.52%,56,26.13%,51,"-2,083,334",189,64,40.20%,178,185
BK0401,Bushwick (West),5.855201588,6.34%,15.88%,67,20.39%,78,"461,639",48,119,40.39%,176,59
BK0402,Bushwick (East),5.466801597,6.47%,15.97%,65,21.55%,72,"-270,322",143,117,43.00%,164,93
BK0501,Cypress Hills,4.275801214,5.05%,12.14%,105,26.58%,46,"-1,061,295",179,164,54.32%,59,174
BK0502,East New York (North),4.965301835,11.16%,18.35%,40,29.01%,42,"-1,024,769",178,25,53.62%,67,139
BK0503,East New York-New Lots,6.082001873,13.26%,18.73%,36,38.90%,20,"-387,620",151,13,49.31%,110,45
BK0504,Spring Creek-Starrett City,5.252702073,7.70%,20.73%,26,74.43%,2,"-58,088",124,78,48.66%,120,113
BK0505,East New York-City Line,5.289001651,6.73%,16.51%,57,30.26%,37,"-46,396",122,109,52.25%,78,110
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,5.731701438,7.84%,14.38%,83,12.94%,138,"126,348",106,73,42.08%,167,67
BK0602,Park Slope,5.542000719,5.52%,7.19%,185,5.64%,182,"249,806",88,151,41.11%,171,87
BK0701,Windsor Terrace-South Slope,5.604300734,5.99%,7.34%,182,16.23%,116,"292,101",77,133,45.58%,146,81
BK0702,Sunset Park (West),6.760701457,5.88%,14.57%,79,27.10%,45,"814,897",14,136,54.84%,54,20
BK0703,Sunset Park (Central),6.128501765,7.57%,17.65%,45,12.00%,146,"585,501",36,80,73.61%,3,40
BK0801,Prospect Heights,4.421500959,4.92%,9.59%,147,18.35%,98,"-410,622",154,171,38.36%,187,170
BK0802,Crown Heights (North),5.317801716,8.35%,17.16%,50,18.86%,94,"-71,762",126,59,39.09%,182,107
BK0901,Crown Heights (South),5.221301647,8.40%,16.47%,58,19.24%,90,173,120,56,49.18%,112,117
BK0902,Prospect Lefferts Gardens-Wingate,5.462501663,6.78%,16.63%,55,24.68%,61,"-239,153",141,108,46.34%,138,94
BK1001,Bay Ridge,6.42100117,6.04%,11.70%,109,15.88%,120,"1,073,267",6,129,48.91%,116,27
BK1002,Dyker Heights,5.599801403,7.15%,14.03%,88,14.88%,124,"446,511",49,91,60.13%,24,82
BK1101,Bensonhurst,7.130501425,7.06%,14.25%,85,19.65%,87,"1,283,197",4,99,62.43%,17,12
BK1102,Bath Beach,5.410201238,5.29%,12.38%,98,25.10%,58,"462,991",47,160,59.90%,25,98
BK1103,Gravesend (West),6.259501416,8.13%,14.16%,86,22.78%,70,"753,168",19,69,59.30%,28,35
BK1201,Sunset Park (East)-Borough Park (West),6.30150182,9.85%,18.20%,42,26.15%,50,"598,887",35,38,72.52%,6,33
BK1202,Borough Park,6.399301836,7.52%,18.36%,39,32.20%,31,"738,163",22,83,63.74%,13,29
BK1203,Kensington,5.180701446,6.30%,14.46%,82,29.96%,39,"151,549",103,123,51.31%,89,122
BK1204,Mapleton-Midwood (West),5.821201497,5.59%,14.97%,77,54.61%,6,"252,067",87,147,59.17%,29,62
BK1301,Gravesend (South),4.69580172,10.24%,17.20%,48,35.38%,29,"-541,916",160,33,57.47%,39,159
BK1302,Coney Island-Sea Gate,6.619702096,8.09%,20.96%,23,38.60%,22,"849,149",13,70,58.98%,31,22
BK1303,Brighton Beach,6.181001978,3.56%,19.78%,29,17.69%,102,"678,306",25,189,70.71%,7,37
BK1401,Flatbush,5.575801505,5.04%,15.05%,73,15.24%,123,"304,740",71,165,48.91%,116,84
BK1402,Flatbush (West)-Ditmas Park-Parkville,4.825001518,6.94%,15.18%,72,24.74%,60,"-557,601",161,102,51.69%,85,148
BK1403,Midwood,6.043801455,5.49%,14.55%,81,26.03%,52,"473,198",43,152,60.63%,23,46
BK1501,Gravesend (East)-Homecrest,5.964201372,7.45%,13.72%,91,17.03%,108,"688,826",24,84,56.73%,41,52
BK1502,Madison,5.198801084,5.59%,10.84%,121,16.23%,116,"281,054",79,147,56.35%,45,120
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,6.887701229,5.04%,12.29%,102,23.50%,66,"971,271",11,165,55.60%,50,17
BK1601,Ocean Hill,3.212001611,6.53%,16.11%,61,36.70%,27,"-2,073,579",188,114,46.12%,140,191
BK1602,Brownsville,7.616703084,18.77%,30.84%,2,46.77%,10,"365,964",63,2,45.02%,153,4
BK1701,East Flatbush-Erasmus,4.542501498,6.00%,14.98%,76,17.28%,105,"-511,520",158,132,49.13%,113,165
BK1702,East Flatbush-Farragut,4.528701122,7.25%,11.22%,114,25.55%,56,"-987,482",177,88,56.70%,43,166
BK1703,East Flatbush-Rugby,4.519801276,6.30%,12.76%,95,26.46%,48,"-945,034",175,123,52.51%,76,167
BK1704,East Flatbush-Remsen Village,5.363701692,11.23%,16.92%,53,19.68%,86,"-614,305",163,24,51.71%,84,104
BK1801,Flatlands,2.783701077,7.56%,10.77%,122,13.61%,130,"-2,336,319",193,81,52.04%,81,194
BK1802,Marine Park-Mill Basin-Bergen Beach,4.913000756,3.25%,7.56%,177,21.48%,73,"-183,327",138,194,51.20%,93,144
BK1803,Canarsie,1.65850113,5.61%,11.30%,113,13.71%,129,"-3,525,135",197,143,49.75%,109,197
BX0101,Mott Haven-Port Morris,5.798802583,11.64%,25.83%,5,59.22%,3,"-691,535",169,21,53.24%,71,65
BX0102,Melrose,3.403202446,13.26%,24.46%,10,32.15%,32,"-2,132,991",190,13,50.85%,97,189
BX0201,Hunts Point,4.790802454,16.26%,24.54%,9,121.32%,1,"-1,220,616",180,3,52.98%,73,152
BX0202,Longwood,4.051002285,14.70%,22.85%,14,16.95%,109,"-1,624,997",185,8,52.70%,75,177
BX0301,Morrisania,3.644202252,14.51%,22.52%,16,45.42%,13,"-2,045,643",187,10,51.28%,90,186
BX0302,Claremont Village-Claremont (East),6.413003201,14.60%,32.01%,1,47.90%,9,"-73,284",127,9,48.36%,126,28
BX0303,Crotona Park East,5.90250215,9.61%,21.50%,18,58.10%,4,"-135,149",134,43,50.17%,104,56
BX0401,Concourse-Concourse Village,5.293202108,10.04%,21.08%,22,43.71%,16,"-649,564",166,36,56.10%,48,109
BX0402,Highbridge,6.951002254,12.28%,22.54%,15,45.94%,12,"508,001",39,20,53.40%,69,15
BX0403,Mount Eden-Claremont (West),7.798002128,15.68%,21.28%,20,30.00%,38,"808,583",15,5,62.31%,18,3
